x	y	z	timestamp
9.9	-4.6	-10.5	1688662590486
10.5	-4.4	-10.4	1688662590506
10.6	-5.1	-10.1	1688662590526
10.8	-5.2	-10.0	1688662590546
11.2	-4.6	-10.0	1688662590566
11.3	-4.3	-8.6	1688662590586
11.4	-3.7	-9.0	1688662590606
11.3	-3.7	-9.4	1688662590626
10.9	-3.8	-8.7	1688662590646
10.0	-4.0	-8.8	1688662590666
9.6	-4.9	-11.1	1688662590686
9.0	-5.1	-12.0	1688662590706
8.8	-4.6	-13.2	1688662590726
8.3	-4.3	-11.3	1688662590746
7.2	-4.0	-10.1	1688662590766
7.5	-4.1	-12.6	1688662590786
8.9	-3.2	-13.2	1688662590806
10.0	-3.2	-13.6	1688662590826
9.5	-4.3	-11.4	1688662590846
10.0	-4.2	-11.8	1688662590866
11.3	-4.0	-13.1	1688662590886
12.5	-4.0	-12.9	1688662590906
12.8	-4.3	-12.6	1688662590926
12.9	-4.6	-12.0	1688662590946
12.2	-3.8	-12.3	1688662590966
12.1	-3.4	-12.8	1688662590986
11.4	-4.0	-12.2	1688662591006
10.1	-3.7	-12.5	1688662591026
10.1	-3.6	-12.3	1688662591046
8.7	-4.0	-11.8	1688662591066
7.6	-3.3	-11.7	1688662591086
6.8	-3.2	-11.0	1688662591106
5.0	-3.4	-11.3	1688662591126
4.8	-3.1	-9.9	1688662591146
2.9	-1.5	-8.8	1688662591166
2.2	-2.4	-7.7	1688662591186
