x	y	z	timestamp
17.8	1.0	1.1	1688891645448
17.8	1.7	0.9	1688891645468
16.2	2.2	0.7	1688891645488
14.7	2.6	1.1	1688891645508
13.4	4.3	1.4	1688891645528
10.8	6.1	1.5	1688891645548
8.7	5.7	2.5	1688891645568
8.3	4.6	4.2	1688891645588
7.7	4.5	4.8	1688891645608
7.3	1.5	3.4	1688891645628
7.8	-3.1	-0.5	1688891645648
8.9	-5.0	-2.9	1688891645668
8.4	-3.4	-3.3	1688891645688
7.6	-2.4	-2.7	1688891645708
8.3	4.6	4.2	1688891645728
7.7	4.5	4.8	1688891645748
7.3	1.5	3.4	1688891645768
7.8	-3.1	-0.5	1688891645788
8.9	-5.0	-2.9	1688891645808
8.4	-3.4	-3.3	1688891645828
7.6	-2.4	-2.7	1688891645848
8.3	4.6	4.2	1688891645868
7.7	4.5	4.8	1688891645888
7.3	1.5	3.4	1688891645908
7.8	-3.1	-0.5	1688891645928
8.9	-5.0	-2.9	1688891645948
8.4	-3.4	-3.3	1688891645968
7.6	-2.4	-2.7	1688891645988
8.3	4.6	4.2	1688891646008
7.7	4.5	4.8	1688891646028
7.3	1.5	3.4	1688891646048
7.8	-3.1	-0.5	1688891646068
8.9	-5.0	-2.9	1688891646088
8.4	-3.4	-3.3	1688891646108
7.6	-2.4	-2.7	1688891646128
8.3	4.6	4.2	1688891646148
7.7	4.5	4.8	1688891646168
7.3	1.5	3.4	1688891646188
7.8	-3.1	-0.5	1688891646208
8.9	-5.0	-2.9	1688891646228
8.4	-3.4	-3.3	1688891646248
7.6	-2.4	-2.7	1688891646268
8.3	4.6	4.2	1688891646288
7.7	4.5	4.8	1688891646308
7.3	1.5	3.4	1688891646328
7.8	-3.1	-0.5	1688891646348
8.9	-5.0	-2.9	1688891646368
8.4	-3.4	-3.3	1688891646388
7.6	-2.4	-2.7	1688891646408
8.5	-2.9	-2.9	1688891646428
9.5	-2.9	-4.3	1688891646448
10.2	-2.6	-4.8	1688891646468
10.1	-3.3	-4.3	1688891646488
10.5	-2.5	-3.8	1688891646508
11.6	-0.6	-4.6	1688891646528
14.5	-3.0	-2.4	1688891646548
15.9	-7.4	0.8	1688891646568
14.5	-7.5	3.0	1688891646588
12.5	-5.3	2.4	1688891646608
12.6	0.3	-0.4	1688891646628
12.0	0.8	-1.7	1688891646648
12.5	3.3	1.1	1688891646668
14.2	4.6	3.5	1688891646688
13.8	6.0	2.1	1688891646708
13.7	6.2	2.4	1688891646728
13.5	7.5	3.7	1688891646748
13.7	5.0	3.5	1688891646768
13.5	3.4	2.3	1688891646788
13.2	6.2	2.9	1688891646808
12.3	6.6	1.9	1688891646828
10.7	4.4	-0.7	1688891646848
10.6	3.6	-0.6	1688891646868
10.9	3.2	0.3	1688891646888
10.6	1.7	0.5	1688891646908
9.7	0.3	1.8	1688891646928
8.3	-0.2	1.5	1688891646948
7.1	0.1	0.5	1688891646968
6.0	0.7	0.2	1688891646988
7.4	1.3	-1.0	1688891647008
9.1	-1.3	-1.2	1688891647028
9.5	-0.9	-0.7	1688891647048
10.6	0.8	0.3	1688891647068
11.4	-0.1	0.0	1688891647088
11.1	-0.7	-0.4	1688891647108
10.8	-2.4	-0.8	1688891647128
11.5	-2.5	-0.1	1688891647148
11.2	-1.7	0.0	1688891647168
11.7	-1.2	0.0	1688891647188
13.3	-0.8	0.3	1688891647208
13.2	2.0	2.7	1688891647228
13.7	6.3	4.7	1688891647248
12.8	8.2	3.4	1688891647268
11.9	4.6	1.3	1688891647288
11.5	1.3	-1.3	1688891647308
11.1	0.3	-2.6	1688891647328
9.8	-1.7	-3.3	1688891647348
9.3	-4.8	-2.0	1688891647368
9.8	-7.0	0.8	1688891647388
11.3	-3.5	4.3	1688891647408
11.1	3.2	7.5	1688891647428
9.9	3.3	6.6	1688891647448
11.8	1.4	2.4	1688891647468
12.3	2.6	0.1	1688891647488
10.4	2.0	-0.7	1688891647508
9.6	-0.3	-1.1	1688891647528
8.5	-0.2	-1.2	1688891647548
8.7	2.0	-1.4	1688891647568
9.3	0.1	-1.4	1688891647588
9.9	-4.1	-2.3	1688891647608
10.6	-6.8	-2.8	1688891647628
11.9	-3.7	-2.0	1688891647648
12.4	-0.5	-1.6	1688891647668
12.5	0.5	-1.3	1688891647688
12.0	0.5	0.2	1688891647708
12.1	1.6	1.1	1688891647728
12.4	1.2	0.7	1688891647748
12.1	1.1	-0.2	1688891647768
12.4	0.1	-0.1	1688891647788
12.5	1.5	0.7	1688891647808
11.5	3.0	1.2	1688891647828
11.3	3.9	0.2	1688891647848
10.0	3.5	-1.0	1688891647868
9.5	2.9	-1.4	1688891647888
9.4	2.8	-1.0	1688891647908
10.6	1.5	-0.8	1688891647928
11.2	1.4	-2.7	1688891647948
10.4	0.3	-3.7	1688891647968
10.3	-1.9	-5.3	1688891647988
10.0	-4.6	-6.1	1688891648008
9.5	-6.3	-4.0	1688891648028
11.5	-5.9	-0.2	1688891648048
7.6	-2.9	2.7	1688891648068
5.9	4.7	5.0	1688891648088
9.3	3.2	4.6	1688891648108
11.2	-0.6	4.5	1688891648128
11.6	1.4	5.4	1688891648148
12.1	1.1	3.8	1688891648168
11.3	-1.3	0.8	1688891648188
10.2	-3.3	-0.5	1688891648208
9.4	-4.1	-0.6	1688891648228
8.8	-2.0	1.1	1688891648248
8.6	-1.2	2.2	1688891648268
8.3	-1.3	1.8	1688891648288
7.9	-0.9	3.1	1688891648308
7.4	0.9	5.3	1688891648328
7.4	3.1	6.0	1688891648348
8.0	3.8	4.9	1688891648368
7.6	3.1	4.3	1688891648388
7.9	1.9	3.9	1688891648408
9.5	0.4	3.6	1688891648428
11.6	-4.9	3.5	1688891648448
13.1	-6.5	5.6	1688891648468
10.7	-2.7	7.9	1688891648488
8.7	3.3	8.0	1688891648508
7.3	4.3	7.0	1688891648528
7.4	1.8	4.5	1688891648548
7.8	-0.4	4.1	1688891648568
7.3	-0.4	4.6	1688891648588
7.3	-0.1	3.1	1688891648608
8.1	0.5	3.4	1688891648628
9.5	1.3	3.3	1688891648648
9.3	2.2	2.8	1688891648668
9.3	3.9	2.2	1688891648688
9.4	4.7	0.9	1688891648708
9.4	5.7	2.3	1688891648728
7.9	7.3	3.8	1688891648748
8.3	4.7	1.6	1688891648768
10.1	3.0	1.1	1688891648788
11.5	3.6	1.2	1688891648808
11.7	3.5	1.1	1688891648828
10.7	2.0	0.7	1688891648848
11.2	1.4	1.8	1688891648868
11.2	1.1	1.9	1688891648888
11.4	2.2	2.8	1688891648908
12.1	2.1	3.0	1688891648928
11.4	1.2	1.3	1688891648948
9.9	0.8	0.1	1688891648968
9.7	3.1	1.8	1688891648988
9.5	0.9	2.3	1688891649008
9.5	-2.4	1.2	1688891649028
8.8	-3.2	0.5	1688891649048
8.8	-2.4	1.9	1688891649068
8.9	-1.1	2.5	1688891649088
8.9	-0.8	3.1	1688891649108
9.4	-1.7	2.7	1688891649128
7.9	-1.9	0.1	1688891649148
7.6	-3.2	0.3	1688891649168
7.7	-6.0	1.9	1688891649188
7.9	-7.0	2.5	1688891649208
8.9	-4.6	1.4	1688891649228
9.1	-4.4	1.6	1688891649248
8.8	-6.3	3.8	1688891649268
8.0	-4.5	4.6	1688891649288
8.4	-0.7	2.5	1688891649308
8.7	0.1	1.8	1688891649328
8.3	1.3	3.0	1688891649348
7.0	5.0	4.8	1688891649368
6.0	6.5	6.7	1688891649388
6.6	4.9	6.6	1688891649408
7.1	4.4	5.8	1688891649428
8.5	5.0	4.7	1688891649448
8.2	3.0	5.2	1688891649468
7.9	3.2	5.8	1688891649488
6.6	-2.6	4.5	1688891649508
6.3	-2.9	7.5	1688891649528
6.8	-2.0	6.9	1688891649548
8.6	0.1	5.6	1688891649568
10.7	0.1	3.6	1688891649588
13.3	-3.8	2.3	1688891649608
14.8	-5.7	1.8	1688891649628
14.8	0.1	4.2	1688891649648
15.4	2.5	6.3	1688891649668
14.1	2.5	6.6	1688891649688
12.3	2.5	5.7	1688891649708
11.6	3.0	6.3	1688891649728
12.3	0.9	7.6	1688891649748
11.4	-0.4	6.7	1688891649768
14.8	0.1	4.2	1688891649788
15.4	2.5	6.3	1688891649808
14.1	2.5	6.6	1688891649828
12.3	2.5	5.7	1688891649848
11.6	3.0	6.3	1688891649868
12.3	0.9	7.6	1688891649888
11.4	-0.4	6.7	1688891649908
11.1	0.8	5.8	1688891649928
10.4	1.8	4.1	1688891649948
9.6	2.0	3.5	1688891649968
9.7	2.7	3.6	1688891649988
9.9	1.0	2.3	1688891650008
9.5	-1.6	-0.4	1688891650028
10.5	-3.0	-1.8	1688891650048
11.5	-3.0	-1.9	1688891650068
11.0	-2.6	-1.5	1688891650088
11.4	-1.9	-2.6	1688891650108
11.5	-5.3	-2.7	1688891650128
10.9	-12.4	-0.2	1688891650148
11.7	-20.3	1.0	1688891650168
15.7	-12.6	-0.8	1688891650188
16.5	-6.1	-3.8	1688891650208
14.8	-7.5	-5.7	1688891650228
14.0	-5.2	-2.2	1688891650248
13.3	-1.4	1.8	1688891650268
13.7	2.7	3.6	1688891650288
15.3	2.1	4.0	1688891650308
16.0	1.2	3.6	1688891650328
15.9	0.2	3.4	1688891650348
14.9	-1.7	2.7	1688891650368
13.7	-1.7	2.7	1688891650388
12.5	-0.7	3.6	1688891650408
11.9	1.1	3.6	1688891650428
10.7	1.6	2.8	1688891650448
9.5	1.9	2.3	1688891650468
9.6	1.9	1.9	1688891650488
9.3	0.1	2.3	1688891650508
8.3	-0.4	2.8	1688891650528
7.7	-0.1	1.9	1688891650548
8.1	-1.6	0.7	1688891650568
8.1	-3.3	0.1	1688891650588
8.0	-4.4	-0.9	1688891650608
8.2	-2.9	-0.7	1688891650628
8.9	-2.2	0.3	1688891650648
10.3	-4.9	1.6	1688891650668
9.9	-7.0	1.8	1688891650688
9.6	-6.0	2.0	1688891650708
10.0	-7.6	0.6	1688891650728
10.9	-8.7	-0.2	1688891650748
12.1	-7.0	-1.3	1688891650768
14.0	-4.4	-1.7	1688891650788
15.0	-4.5	0.7	1688891650808
13.3	-5.7	3.1	1688891650828
10.5	-6.8	5.3	1688891650848
9.2	-6.3	4.8	1688891650868
11.2	-9.8	3.6	1688891650888
12.7	-6.6	3.5	1688891650908
14.9	-1.6	5.2	1688891650928
15.8	1.9	5.7	1688891650948
14.9	2.5	5.3	1688891650968
13.2	2.6	4.8	1688891650988
11.9	3.4	4.6	1688891651008
11.0	4.7	3.9	1688891651028
10.2	4.8	2.8	1688891651048
8.5	3.2	2.0	1688891651068
8.1	-0.1	1.3	1688891651088
8.1	-2.1	1.8	1688891651108
7.6	-1.0	2.9	1688891651128
6.7	1.4	3.1	1688891651148
7.0	0.7	2.2	1688891651168
8.2	-1.2	-0.4	1688891651188
8.1	-3.9	1.5	1688891651208
6.9	-2.7	3.6	1688891651228
7.8	-0.8	3.4	1688891651248
9.4	-3.5	0.5	1688891651268
10.0	-4.5	0.6	1688891651288
10.2	-5.4	2.8	1688891651308
11.4	-8.5	3.2	1688891651328
12.4	-8.6	2.9	1688891651348
12.9	-6.5	2.9	1688891651368
13.3	-4.4	2.4	1688891651388
13.7	-5.1	1.6	1688891651408
15.6	-5.1	-0.1	1688891651428
15.9	-2.5	-1.3	1688891651448
16.9	1.6	0.2	1688891651468
16.0	1.8	2.4	1688891651488
14.7	-1.7	3.0	1688891651508
14.1	-3.9	3.4	1688891651528
13.0	-1.2	5.4	1688891651548
10.5	0.1	6.7	1688891651568
9.8	1.7	6.4	1688891651588
8.5	3.4	6.1	1688891651608
7.2	1.5	4.1	1688891651628
6.9	-0.1	2.6	1688891651648
7.2	-1.4	1.7	1688891651668
7.4	-1.4	0.7	1688891651688
7.3	-2.6	0.1	1688891651708
7.8	-4.0	-0.1	1688891651728
8.8	-4.8	-1.0	1688891651748
9.6	-5.2	-0.6	1688891651768
9.2	-4.9	-0.1	1688891651788
8.4	-4.0	-0.6	1688891651808
7.9	-3.4	-1.8	1688891651828
7.1	-4.3	-1.6	1688891651848
6.6	-4.6	1.6	1688891651868
8.1	-7.6	4.3	1688891651888
10.0	-11.1	3.2	1688891651908
12.1	-10.2	1.3	1688891651928
13.4	-6.0	0.8	1688891651948
14.7	-5.4	-0.6	1688891651968
15.9	-4.7	-1.1	1688891651988
14.6	0.5	0.9	1688891652008
15.4	4.9	4.6	1688891652028
15.6	3.5	5.2	1688891652048
15.1	2.7	4.0	1688891652068
14.1	2.5	3.0	1688891652088
12.1	0.6	2.8	1688891652108
11.1	1.0	2.9	1688891652128
10.5	3.8	4.5	1688891652148
9.9	3.3	4.5	1688891652168
9.1	1.5	2.7	1688891652188
8.8	0.1	1.3	1688891652208
8.6	-0.9	1.7	1688891652228
8.8	-1.2	1.7	1688891652248
9.4	-1.7	2.0	1688891652268
9.8	-1.8	2.3	1688891652288
9.9	-2.4	0.6	1688891652308
9.9	-2.7	-0.4	1688891652328
